USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
visawant    2487  0.0  0.0 610588 10228 ?        Ssl  May24   0:02 /usr/libexec/gsd-smartcard
visawant    2490  0.0  0.0 609592  7916 ?        Ssl  May24   0:02 /usr/libexec/gsd-sound
visawant    2495  0.0  0.0 305520  6692 ?        Sl   May24   0:00 /usr/libexec/gsd-disk-utility-notify
visawant    2498  0.0  0.0 751136  6920 ?        Ssl  May24   0:03 /usr/libexec/gsd-usb-protection
visawant    2499  0.0  0.0 707196 19652 ?        Ssl  May24   0:03 /usr/libexec/gsd-wacom
visawant    2529  0.0  0.1 1282088 51924 ?       Sl   May24   0:06 /usr/libexec/evolution-data-server/evolution-alarm-notify
visawant    2546  0.0  0.0 569904 15272 ?        Ssl  May24   0:01 /usr/bin/abrt-applet --gapplication-service
visawant    2576  0.0  4.7 5047684 1533600 ?     Sl   May24  13:31 /usr/bin/gnome-software --gapplication-service
visawant    2611  0.0  0.0 528520  6560 ?        Sl   May24   0:00 /usr/libexec/ibus-dconf
visawant    2612  0.0  0.0 714848 23452 ?        Sl   May24   3:25 /usr/libexec/ibus-extension-gtk3
visawant    2664  0.0  0.2 959148 71416 ?        Ssl  May24   5:16 /usr/libexec/ibus-portal
visawant    2665  0.0  0.0 731456 18544 ?        SLsl May24   2:18 /usr/libexec/goa-daemon
visawant    2666  0.0  0.0 3163724 18924 ?       Ssl  May24   0:02 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
visawant    2669  0.0  0.0 2043720 19708 ?       Ssl  May24   0:12 /usr/libexec/glib-pacrunner
visawant    2670  0.0  0.0 618636 12136 ?        Ssl  May24   0:09 /usr/libexec/gvfs-udisks2-volume-monitor
visawant    2676  0.0  0.0 455108  6936 ?        Ssl  May24   0:00 /usr/libexec/gvfsd-metadata
visawant    2707  0.0  0.0 642008 14428 ?        Sl   May24   0:00 /usr/libexec/gsd-printer
visawant    2734  0.0  0.0 612468 11760 ?        Ssl  May24   4:32 /usr/libexec/goa-identity-service
visawant    2739  0.0  0.0 527920  5796 ?        Ssl  May24   0:00 /usr/libexec/gvfs-mtp-volume-monitor
visawant    2745  0.0  0.0 2216484 30224 ?       Ssl  May24   1:41 /usr/libexec/evolution-calendar-factory
visawant    2756  0.0  0.0 529744  6948 ?        Ssl  May24   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
visawant    2770  0.0  0.0 528448  6924 ?        Ssl  May24   0:00 /usr/libexec/gvfs-goa-volume-monitor
visawant    2789  0.0  0.0 608204  7048 ?        Ssl  May24   0:15 /usr/libexec/gvfs-afc-volume-monitor
root        2807  0.0  0.0 549212 11604 ?        Ssl  May24   0:04 /usr/sbin/abrt-dbus -t133
visawant    2833  0.0  0.0 455636  7732 ?        Sl   May24   4:24 /usr/libexec/ibus-engine-simple
visawant    2880  0.1  0.0 365224 28032 ?        S<sl May24  36:14 /usr/bin/pipewire-pulse
